User-Item1-Item2,Preference
31-4-10,0
13-1-8,0
15-4-9,0
49-1-9,0
14-9-5,0
35-10-3,0
38-2-6,0
42-3-9,0
44-4-10,0
12-9-7,0
28-5-8,0
39-7-4,0
43-4-5,0
56-4-9,0
39-9-7,0
22-5-4,0
37-5-10,0
33-6-1,0
60-1-4,0
28-5-4,0
42-9-5,0
26-1-8,0
34-7-4,0
36-10-5,0
48-10-2,0
39-1-6,0
19-4-3,0
38-5-10,0
49-9-5,0
11-4-10,0
51-3-9,0
42-9-4,0
21-6-1,0
37-1-3,0
34-4-1,0
41-10-5,0
44-8-2,0
31-7-4,0
37-10-2,0
20-10-4,0
37-5-9,0
48-4-5,0
35-8-6,0
46-6-2,0
7-3-1,0
16-5-10,0
38-8-6,0
31-10-2,0
18-9-5,0
33-5-8,0
27-6-8,0
39-5-4,0
16-2-10,0
58-9-7,0
45-1-9,0
60-5-9,0
41-9-4,0
14-9-3,0
9-6-2,0
36-1-9,0
47-1-6,0
57-1-10,0
34-1-10,0
21-2-10,0
53-4-10,0
25-5-10,0
49-8-6,0
13-1-9,0
20-7-4,0
1-6-9,0
33-4-9,0
23-9-1,0
31-1-3,0
53-4-7,0
49-1-6,0
51-9-6,0
18-8-1,0
52-4-10,0
13-8-5,0
35-4-1,0
39-1-9,0
37-5-4,0
48-4-1,0
46-10-2,0
25-9-4,0
12-8-5,0
49-4-7,0
22-3-1,0
3-8-6,0
8-1-8,0
1-4-5,0
24-5-4,0
13-7-9,0
53-5-10,0
43-4-10,0
16-7-9,0
27-5-10,0
53-2-8,0
3-5-10,0
59-4-1,0
54-9-5,0
21-1-10,0
55-5-8,0
30-5-10,0
34-8-2,0
13-1-10,0
11-1-3,0
55-9-4,0
29-1-9,0
24-2-10,0
3-4-6,0
36-6-2,0
46-4-3,0
37-1-6,0
10-1-6,0
11-8-1,0
24-3-9,0
22-8-1,0
17-6-2,0
27-7-4,0
45-10-3,0
49-6-2,0
41-6-1,0
43-3-1,0
15-10-8,0
25-1-8,0
19-2-6,0
46-5-8,0
25-6-4,0
40-10-4,0
22-1-9,0
60-4-5,0
19-8-6,0
40-10-2,0
6-6-4,0
36-9-7,0
50-1-2,0
27-7-9,0
5-1-6,0
23-8-2,0
41-9-6,0
49-6-4,0
52-8-5,0
35-2-9,0
57-2-10,0
13-7-4,0
54-10-4,0
59-6-2,0
24-4-6,0
7-1-6,0
54-1-10,0
31-4-3,0
4-8-6,0
7-9-1,0
49-9-4,0
