User ID,Item1 ID,Item2 ID,Preference
9,1,2,1
11,4,8,1
2,5,1,1
44,7,2,0
46,1,7,0
58,4,2,0
37,10,3,0
13,6,3,1
5,7,5,1
50,8,5,1
42,9,10,0
12,4,2,1
52,7,8,1
13,9,10,0
11,6,7,0
44,4,1,1
48,8,3,1
14,7,6,0
45,7,2,0
38,3,2,0
53,7,5,1
49,7,3,0
43,2,9,1
56,6,5,1
48,8,7,1
26,9,8,0
44,10,7,1
24,2,4,1
22,5,6,1
29,6,5,0
56,3,7,0
52,2,5,1
20,9,8,1
43,5,6,0
37,6,5,0
58,6,10,0
21,2,1,0
17,10,6,0
22,8,7,1
23,6,5,1
43,6,7,0
52,7,5,1
1,5,2,0
60,7,6,0
38,9,8,0
23,5,1,1
30,6,7,0
51,3,5,0
24,9,10,0
3,2,7,1
35,7,5,1
27,7,6,1
18,6,7,1
7,7,3,1
7,2,1,1
4,8,3,1
47,8,7,0
42,3,7,0
60,8,7,1
43,1,2,0
36,2,5,1
35,3,4,0
38,2,7,0
23,6,10,0
18,3,10,0
36,2,7,0
15,10,9,0
60,5,6,1
16,2,4,1
26,3,7,0
27,3,2,1
29,2,7,0
36,7,8,0
56,8,4,1
47,2,9,1
37,3,8,1
20,5,1,1
33,6,3,1
20,6,10,0
38,3,5,0
17,2,9,1
12,8,9,0
20,2,9,0
37,5,2,1
56,9,8,0
49,3,6,1
18,1,5,1
23,7,8,1
44,9,8,1
15,4,1,1
14,2,7,1
36,4,2,0
53,4,2,0
47,4,8,1
13,6,7,1
23,2,1,1
52,6,5,1
26,2,5,1
9,4,10,1
46,6,5,1
26,3,2,0
54,7,8,1
47,9,10,1
28,2,3,0
36,1,5,1
44,2,3,0
24,2,5,1
9,10,2,0
43,1,5,0
49,8,4,0
24,9,8,0
18,8,9,1
32,5,1,0
18,9,2,0
55,4,8,0
38,8,4,1
60,2,1,0
14,6,4,1
17,1,7,0
3,3,2,1
48,3,5,0
27,6,3,0
17,2,1,1
59,2,4,0
9,5,6,1
53,5,2,0
59,6,10,0
46,7,8,1
43,4,8,0
14,7,5,0
25,7,10,1
26,1,2,0
24,4,1,0
4,6,10,1
55,5,6,0
54,3,10,1
59,6,5,1
50,8,7,1
1,4,2,0
39,4,1,0
42,5,6,0
42,1,2,1
56,3,5,0
53,10,6,0
7,7,1,1
30,2,5,1
24,5,1,0
19,8,4,1
35,4,10,0
49,5,3,0
12,10,3,1
41,5,7,0
22,3,2,0
8,1,5,1
53,2,3,1
30,7,1,1
8,4,2,0
31,5,2,0
12,2,1,1
1,3,7,0
20,4,2,0
15,9,2,0
21,7,10,0
50,8,2,1
10,4,8,1
57,9,10,0
32,5,4,1
3,6,10,0
31,3,7,0
39,4,8,0
49,8,3,0
53,3,8,0
21,7,3,0
38,6,5,1
40,8,9,1
60,8,1,0
33,10,6,1
51,2,4,1
1,5,6,0
3,8,7,1
34,3,5,0
33,7,2,0
33,7,3,0
39,3,5,0
24,3,6,0
26,2,9,1
23,5,3,0
23,2,3,1
59,5,8,1
42,7,2,1
12,6,5,0
44,8,3,0
17,10,9,0
14,5,2,1
37,2,9,0
29,10,6,0
22,3,6,0
31,2,1,1
27,1,5,0
51,9,10,0
24,10,7,1
58,7,10,1
45,1,5,0
58,1,5,1
36,1,7,0
6,7,2,1
6,5,1,0
40,10,9,1
55,7,6,0
50,4,8,0
26,8,4,1
8,9,10,1
5,6,7,0
6,1,2,0
35,2,10,1
10,2,4,0
31,1,4,0
46,7,5,1
31,10,9,0
53,7,2,0
25,3,7,0
43,4,2,0
13,2,7,0
12,3,7,1
33,2,3,1
25,5,6,0
59,2,10,1
29,5,2,1
25,2,3,1
7,10,9,1
21,1,5,0
54,3,7,0
37,2,7,1
3,5,1,1
58,2,5,1
7,1,4,1
25,6,3,1
39,10,7,0
21,2,7,1
45,4,9,1
16,9,2,1
37,3,6,1
18,8,3,1
11,7,1,0
3,6,5,0
54,2,5,1
59,1,2,1
31,6,10,1
11,10,6,1
56,10,3,1
17,1,5,1
44,9,2,1
21,5,3,0
58,4,5,0
1,7,8,1
7,2,4,1
13,1,4,1
53,2,9,1
26,10,3,1
58,7,1,1
18,7,10,0
50,2,6,0
20,2,5,1
37,4,1,1
53,3,10,0
54,2,9,1
5,7,3,1
17,5,6,0
4,7,10,1
1,8,3,1
41,8,4,1
38,7,5,1
10,7,5,0
50,10,2,1
4,10,3,1
2,10,7,1
36,9,10,0
29,10,3,0
16,10,9,0
8,6,5,1
50,10,4,1
3,2,4,0
16,5,1,1
13,10,3,1
47,2,5,1
32,6,7,1
8,10,3,0
51,2,3,1
16,2,1,0
52,1,4,0
47,7,5,1
50,2,3,1
11,1,4,0
30,1,2,0
19,5,7,0
44,7,1,0
21,8,4,0
15,7,6,1
56,7,2,0
12,3,5,1
39,2,7,1
18,7,5,1
58,8,7,0
27,10,6,1
9,1,7,0
12,2,9,0
33,2,9,0
42,8,4,1
46,3,2,0
13,1,2,1
14,8,5,1
15,7,2,0
43,5,2,0
40,2,7,1
6,10,7,0
11,3,10,0
18,3,5,0
36,4,1,0
32,10,7,0
15,7,8,1
53,5,6,0
6,10,3,1
58,6,2,1
27,9,8,1
44,10,6,1
52,8,4,1
6,10,6,0
5,7,2,0
57,9,5,0
53,7,1,1
36,10,3,1
39,3,6,0
54,10,7,0
13,5,3,1
31,7,10,1
32,7,5,1
4,5,1,1
15,8,9,0
49,1,4,0
45,5,3,1
45,2,10,0
43,3,10,0
21,3,8,1
4,5,6,0
22,8,4,1
19,3,6,0
35,7,10,0
13,7,5,0
5,2,5,1
57,5,2,1
50,1,7,0
41,10,6,0
52,7,3,1
19,7,1,1
50,4,6,0
38,8,3,1
27,2,7,1
56,4,1,0
48,2,7,1
37,1,5,0
28,8,4,1
29,7,5,1
10,5,2,1
41,10,3,1
10,7,3,0
20,1,2,0
3,10,7,1
39,2,4,1
23,7,1,1
44,4,2,1
4,10,9,1
45,10,4,1
1,3,2,0
52,3,8,0
25,3,5,0
22,5,2,0
33,9,8,0
42,3,10,0
49,2,4,0
31,6,7,0
25,8,4,1
42,8,9,1
2,7,6,0
59,8,4,0
13,3,8,0
35,5,1,1
59,10,4,0
25,3,8,0
4,2,9,1
15,3,8,0
48,5,2,0
36,2,3,1
27,7,8,1
20,5,3,0
28,10,9,1
46,4,8,1
37,2,1,0
32,5,2,0
55,2,1,1
42,2,4,1
55,10,7,1
40,3,5,1
14,3,7,0
44,7,6,1
22,7,3,1
42,4,1,0
55,10,9,1
59,5,1,1
5,6,10,0
22,9,2,0
29,8,9,1
30,9,8,0
50,3,5,0
55,7,2,1
28,8,3,1
9,6,4,1
30,7,3,0
25,6,7,1
6,2,9,1
45,3,2,1
46,6,10,0
14,6,9,1
13,8,4,1
9,9,8,0
31,5,6,0
33,4,8,0
41,3,7,0
40,8,4,1
22,4,1,0
35,8,2,0
7,7,6,0
18,10,9,1
25,10,6,0
28,3,6,0
15,7,3,1
49,9,2,0
3,1,7,1
24,3,8,0
35,1,7,0
46,4,2,0
21,1,7,1
12,1,7,1
22,5,7,0
7,3,6,0
55,7,1,1
26,4,2,0
34,8,9,1
51,9,8,1
42,7,1,0
4,5,2,0
8,4,1,1
16,7,2,0
39,5,6,0
52,6,7,0
57,7,10,0
29,3,7,0
57,4,2,1
9,6,10,1
9,5,7,0
16,8,4,1
51,3,6,0
15,4,8,0
16,2,3,0
5,9,8,1
21,7,6,1
8,7,6,1
1,5,3,1
48,6,3,1
7,2,5,1
52,9,8,1
16,3,5,1
17,7,5,1
26,3,8,0
40,2,4,1
27,2,1,1
41,2,5,0
4,7,8,0
57,9,2,1
46,7,3,1
32,8,4,1
51,6,7,1
21,2,9,0
51,2,1,1
1,9,8,0
35,6,4,1
24,8,7,1
4,4,8,0
6,7,1,1
1,10,6,0
45,9,2,0
20,8,3,0
43,5,7,0
43,4,1,1
52,9,10,1
53,6,3,1
14,5,1,1
53,3,5,0
11,7,2,0
29,2,4,1
56,1,5,1
19,3,7,0
35,6,9,0
22,10,3,1
38,1,4,1
56,4,2,0
23,9,10,1
49,5,1,1
15,10,6,0
43,3,7,0
32,3,10,0
11,5,1,1
32,3,8,0
41,8,7,1
3,9,8,1
26,7,5,1
4,2,4,1
52,7,1,1
37,7,8,0
7,5,3,1
20,8,4,1
56,6,7,0
19,8,3,1
30,2,7,1
23,7,3,1
23,2,5,1
31,7,5,0
24,3,5,0
21,8,7,0
36,10,7,0
41,7,2,1
8,1,7,0
25,2,5,1
29,1,5,1
54,4,2,0
18,2,7,0
16,3,8,0
24,9,2,0
11,6,5,0
13,2,4,1
34,6,9,0
38,2,1,1
41,10,9,0
6,3,6,0
42,3,5,0
39,5,7,0
10,9,2,1
12,8,7,1
